group_id,accepting_volunteers,volunteer_url,application_process,requirements,time_commitment,roles_available,remote_available,last_confirmed,last_updated
urban-growers-collective,TRUE,https://www.urbangrowerscollective.org/tour-and-volunteer,online_form,"Must be 18+. Orientation required.",2-4 hours/week,"Farm work, food distribution, youth mentoring",FALSE,,2026-05-29
love-fridge-chicago,TRUE,https://www.thelovefridge.com/volunteer,online_form,,,"Fridge stocking, cleaning, painting",FALSE,,2026-05-29
logan-square-mutual-aid,TRUE,https://logansquaremutualaid.org/get-involved/,email_inquiry,,,"All-volunteer roles including resource distribution, outreach",FALSE,,2026-05-29
mayfair-mutual-aid,TRUE,https://www.mayfairmutualaid.com/contact-us,email_inquiry,,,"Grocery/medicine delivery, cash assistance coordination",FALSE,,2026-05-29
sarahs-inn,TRUE,https://sarahsinn.org/ways-to-help,application_required,"Training required for crisis line volunteers.",,"Crisis Line Volunteer, Community Outreach and Education",FALSE,,2026-05-29
center-on-halsted,TRUE,https://www.centeronhalsted.org/volunteer,online_form,,,"Various LGBTQ+ community support roles",FALSE,,2026-05-29
american-indian-center,TRUE,https://aicchicago.org/volunteer/,online_form,,,"Youth programs, food distribution, cultural events",FALSE,,2026-05-29
chinese-mutual-aid,TRUE,,,,,,"Youth mentoring, adult education",,2026-05-29
chicago-youth-programs,TRUE,,,,,,"Tutoring, mentoring",,2026-05-29
350-chicago,TRUE,https://350chicago.org/volunteer-with-350-chicago,online_form,,,"Climate action organizing, event support",FALSE,,2026-05-29
beyond-legal-aid,TRUE,https://www.beyondlegalaid.org/volunteer,online_form,,,"Legal pro bono, community empowerment",FALSE,,2026-05-29
roseland-christian-ministries,TRUE,https://roselandchristianministries.org/get-involved/,show_up,,,"Food pantry packing, distribution, guest services",FALSE,,2026-05-29
chicago-tenants-movement,TRUE,,unknown,,,"Tenant organizing, outreach (mentioned in blog posts)",FALSE,,2026-05-29
mamas,TRUE,https://www.motheringisradical.com/get-involved,online_form,,,"Writing, organizing, mutual care",TRUE,,2026-05-29
bridgeport-alliance,TRUE,https://actionnetwork.org/groups/bridgeport-alliance,show_up,,,"Monthly meeting attendance, community projects",FALSE,,2026-05-29
chicago-recovery-alliance,TRUE,https://anypositivechange.org/volunteer/,online_form,,,"Harm reduction outreach, naloxone distribution, peer support",FALSE,,2026-05-29
